x,y,height,prominence
538.5244,0.02437967,0.02437967,0.00943487
620.4842,0.03361386,0.03361386,0.018131640000000004
733.2995,0.02439705,0.02439705,0.00818655
810.4382,0.03291779,0.03291779,0.00812113
849.9717,0.04928633,0.04928633,0.0355354
937.717,0.01969385,0.01969385,0.00966652
1022.087,0.04252144,0.04252144,0.03184872
1180.222,0.05982817,0.05982817,0.04177607
1256.396,0.0659781,0.0659781,0.04476655
1370.658,0.05491005,0.05491005,0.02959892
1393.317,0.04777292,0.04777292,0.017005790000000003
1463.706,0.08835494,0.08835494,0.06469276
1588.574,0.2143631,0.2143631,0.19944236
1906.289,0.2209491,0.2209491,0.20574771
2902.343,0.09143844,0.09143844,0.05050783
2954.411,0.08999433,0.08999433,0.010108679999999995
3407.119,0.06423741,0.06423741,0.016959449999999994
